title,author,genres,synopsis,publisher,year,isbn,cover,url
Mockingjay,Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",My name is Katniss Everdeen.,Scholastic Press,2010,9780439023511,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188.jpg,https://www.goodreads.com/book/show/7260188-mockingjay
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,"['Biography', 'History', 'Business', 'Nonfiction', 'American History', 'Biography Memoir', 'Audiobook']","John D. Rockefeller, Sr.--history's first billionaire and the patriarch of America's most famous dynasty--is an icon whose true nature has eluded three generations of historians. Now Ron Chernow, the National Book Award-winning biographer of the Morgan and Warburg banking families, gives us a history of the mogul ""etched with uncommon objectivity and literary grace . . . as detailed, balanced, and psychologically insightful a portrait of the tycoon as we may ever have"" (Kirkus Reviews). Titan is the first full-length biography based on unrestricted access to Rockefeller's exceptionally rich trove of papers. A landmark publication full of startling revelations, the book will indelibly alter our image of this most enigmatic capitalist.",Vintage,2004,9781400077304,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925052i/16121.jpg,https://www.goodreads.com/book/show/16121.Titan
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"['Nonfiction', 'Biography', 'Memoir', 'Politics', 'Autobiography', 'Audiobook', 'History']","In this lyrical, unsentimental, and compelling memoir, the son of a black African father and a white American mother searches for a workable meaning to his life as a black American. It begins in New York, where Barack Obama learns that his father—a figure he knows more as a myth than as a man—has been killed in a car accident. This sudden death inspires an emotional odyssey—first to a small town in Kansas, from which he retraces the migration of his mother’s family to Hawaii, and then to Kenya, where he meets the African side of his family, confronts the bitter truth of his father’s life, and at last reconciles his divided inheritance.",New York: Three Rivers Press,2004,9781921351433,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1352340675i/88061.jpg,https://www.goodreads.com/book/show/88061.Dreams_from_My_Father
Into the Wild,Jon Krakauer,"['Nonfiction', 'Biography', 'Adventure', 'Travel', 'Classics', 'Memoir', 'Nature']",Librarian's Note: An alternate cover edition can be found here,Anchor Books,1997,9780385486804,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634587789i/1845.jpg,https://www.goodreads.com/book/show/1845.Into_the_Wild
The Summer I Turned Pretty,Jenny Han,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Audiobook', 'Chick Lit', 'Realistic Fiction']","Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summer—they have been her brother figures, her crushes, and everything in between. But one summer, one terrible and wonderful summer, the more everything changes, the more it all ends up just the way it should have been all along.",Simon & Schuster Books for Young Readers,2009,9781416968238,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361666855i/5821978.jpg,https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty
A Short History of Nearly Everything,Bill Bryson,"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Historical']","Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.",Crown,2004,9780767908184,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433086293i/21.jpg,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
Beautiful Disaster,Jamie McGuire,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Fiction']","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand.",Jamie McGuire,2011,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358259032i/11505797.jpg,https://www.goodreads.com/book/show/11505797-beautiful-disaster
The Notebook,Nicholas Sparks,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']","Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.",Grand Central Publishing,2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131.jpg,https://www.goodreads.com/book/show/33648131-the-notebook
Happy Place,Emily Henry,"['Romance', 'Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Contemporary Romance', 'Chick Lit']","Harriet and Wyn have been the perfect couple since they met in college—they go together like salt and pepper, honey and tea, lobster and rolls. Except, now—for reasons they’re still not discussing—they don’t.",Berkley,2023,9780593441275,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660145160i/61718053.jpg,https://www.goodreads.com/book/show/61718053-happy-place
The Upanishads,Anonymous,"['Religion', 'Philosophy', 'Spirituality', 'Classics', 'Nonfiction', 'Hinduism', 'India']","The Upanishads, the earliest of which were composed in Sanskrit between 800 and 400 bce by sages and poets, form part of the Vedas - the sacred and ancient scriptures that are the basis of the Hindu religion. Each Upanishad, or lesson, takes up a theme ranging from the attainment of spiritual bliss to karma and rebirth, and collectively they are meditations on life, death and immortality. The essence of their teachings is that truth can by reached by faith rather than by thought, and that the spirit of God is within each of us - we need not fear death as we carry within us the promise of eternal life.",Penguin,1965,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/290882.jpg,https://www.goodreads.com/book/show/290882.The_Upanishads
Tuesdays with Morrie,Mitch Albom,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']","Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.",Warner,2000,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900.jpg,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
The Gnostic Gospels,Elaine Pagels,"['Religion', 'Nonfiction', 'History', 'Spirituality', 'Christianity', 'Philosophy', 'Theology']","The Gnostic Gospels is a landmark study of the long-buried roots of Christianity, a work of luminous scholarship and wide popular appeal. First published in 1979 to critical acclaim, winning the National Book Award and the National Book Critics Circle Award, The Gnostic Gospels has continued to grow in reputation and influence over the past two decades. It is now widely recognized as one of the most brilliant and accessible histories of early Christian spirituality published in our time.",Vintage,1989,9780679724537,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403187711i/110763.jpg,https://www.goodreads.com/book/show/110763.The_Gnostic_Gospels
Twilight,Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']",About three things I was absolutely positive.,"Little, Brown and Company",2006,9780316015844,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight
The Bride Test,Helen Hoang,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Adult', 'Audiobook', 'Chick Lit']","Khai Diep has no feelings. Well, he feels irritation when people move his things or contentment when ledgers balance down to the penny, but not big, important emotions—like grief. And love. He thinks he’s defective. His family knows better—that his autism means he just processes emotions differently. When he steadfastly avoids relationships, his mother takes matters into her own hands and returns to Vietnam to find him the perfect bride.",Berkley,2019,9780451490827,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548428073i/39338454.jpg,https://www.goodreads.com/book/show/39338454-the-bride-test
The 48 Laws of Power,Robert Greene,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Philosophy', 'History', 'Personal Development']","Amoral, cunning, ruthless, and instructive, this multi-million-copy New York Times bestseller is the definitive manual for anyone interested in gaining, observing, or defending against ultimate control – from the author of The Laws of Human Nature.",Penguin Books,2000,9780140280197,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1694722764i/1303.jpg,https://www.goodreads.com/book/show/1303.The_48_Laws_of_Power
When Breath Becomes Air,Paul Kalanithi,"['Nonfiction', 'Memoir', 'Biography', 'Medicine', 'Medical', 'Audiobook', 'Autobiography']","For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question 'What makes a life worth living?'",Random House,2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1492677644i/25899336.jpg,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
Outlander,Diana Gabaldon,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']","The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743.",Dell Publishing Company,2005,9780440242949,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,https://www.goodreads.com/book/show/10964.Outlander
